List of File Extensions
=======================

Here is the list of 1,761 unique file extensions across 808 languages in PLDB.

name|_$^nameLink|_$^extensions|_$^numberOfExtensions
Cap'n Proto|_$^../concepts/capn-proto.html|_$^capnp|_$^1
MoonScript|_$^../concepts/moonscript.html|_$^moon|_$^1
DOT|_$^../concepts/dot.html|_$^dot gv|_$^2
EDN|_$^../concepts/edn.html|_$^edn|_$^1
ASP|_$^../concepts/asp.html|_$^asa ashx asp axd asax ascx asmx aspx|_$^8
API Blueprint|_$^../concepts/api-blueprint.html|_$^apib|_$^1
NetLogo|_$^../concepts/netlogo.html|_$^nlogo nls nlogo3d|_$^3
Lex|_$^../concepts/lex.html|_$^l lex|_$^2
Zephir|_$^../concepts/zephir.html|_$^zep|_$^1
JSON-LD|_$^../concepts/json-ld.html|_$^jsonld|_$^1
VBScript|_$^../concepts/vbscript.html|_$^vbs vbe wsf wsc VBS|_$^5
Jsonnet|_$^../concepts/jsonnet.html|_$^jsonnet libsonnet|_$^2
Frege|_$^../concepts/frege.html|_$^fr|_$^1
Janet|_$^../concepts/janet.html|_$^janet|_$^1
Vala|_$^../concepts/vala.html|_$^vala vapi|_$^2
Pig Latin|_$^../concepts/pig.html|_$^pig|_$^1
M4|_$^../concepts/m4.html|_$^ac m4 mc|_$^3
reStructuredText|_$^../concepts/restructuredtext.html|_$^rest rest.txt rst rst.txt resttxt rsttxt|_$^6
Jinja|_$^../concepts/jinja.html|_$^j2 jinja jinja2|_$^3
jq|_$^../concepts/jq.html|_$^jq|_$^1
PL/SQL|_$^../concepts/pl-sql.html|_$^pls bdy ddl fnc pck pkb pks plb plsql prc spc sql tpb tps trg vw|_$^16
C3|_$^../concepts/c3.html|_$^c3 c3i|_$^2
Nginx|_$^../concepts/nginx-config.html|_$^nginx nginxconf vhost nginx.conf|_$^4
Batchfile|_$^../concepts/batch.html|_$^bat cmd|_$^2
Koka|_$^../concepts/koka.html|_$^kk kki|_$^2
GNU Octave|_$^../concepts/octave.html|_$^m|_$^1
PRQL|_$^../concepts/prql.html|_$^prql|_$^1
QML|_$^../concepts/qml.html|_$^qbs qml|_$^2
Opa|_$^../concepts/opa.html|_$^opa|_$^1
Qt|_$^../concepts/qt.html|_$^ui|_$^1
Terra|_$^../concepts/terra.html|_$^t|_$^1
Nearley|_$^../concepts/nearley.html|_$^ne nearley|_$^2
gleam|_$^../concepts/gleam.html|_$^gleam|_$^1
Bicep|_$^../concepts/bicep.html|_$^bicep|_$^1
Ninja|_$^../concepts/ninja.html|_$^ninja|_$^1
Imba|_$^../concepts/imba.html|_$^imba|_$^1
Literate CoffeeScript|_$^../concepts/literate-coffeescript.html|_$^litcoffee coffeemd|_$^2
YARA|_$^../concepts/yara.html|_$^yar yara|_$^2
Thrift|_$^../concepts/thrift.html|_$^thrift|_$^1
Processing|_$^../concepts/processing.html|_$^pde|_$^1
Dafny|_$^../concepts/dafny.html|_$^dfy|_$^1
CSON|_$^../concepts/cson.html|_$^cson|_$^1
SPARQL|_$^../concepts/sparql.html|_$^sparql rq|_$^2
Bourne shell|_$^../concepts/bourne-shell.html|_$^sh|_$^1
Agda|_$^../concepts/agda.html|_$^agda lagda|_$^2
mlir|_$^../concepts/mlir.html|_$^mlir|_$^1
Mojo|_$^../concepts/mojo.html|_$^mojo mojom|_$^2
Nextflow|_$^../concepts/nextflow.html|_$^nf|_$^1
Futhark|_$^../concepts/futhark.html|_$^fut|_$^1
Diff|_$^../concepts/diff.html|_$^diff patch|_$^2
VBA|_$^../concepts/vba.html|_$^bas cls frm frx vba|_$^5
Jison|_$^../concepts/jison.html|_$^jison|_$^1
PL/I|_$^../concepts/pl-i.html|_$^pl1|_$^1
RMarkdown|_$^../concepts/rmarkdown.html|_$^rmd qmd|_$^2
Emacs Lisp|_$^../concepts/emacs-lisp.html|_$^el emacs emacsdesktop elc|_$^4
Marko|_$^../concepts/marko.html|_$^marko|_$^1
Wolfram Language|_$^../concepts/wolfram.html|_$^nb m wl|_$^3
Hack|_$^../concepts/hack.html|_$^hack hh hhi php|_$^4
AMPL|_$^../concepts/ampl.html|_$^ampl mod run dat|_$^4
POV-Ray SDL|_$^../concepts/pov-ray-sdl.html|_$^pov inc|_$^2
Regular Expressions|_$^../concepts/regex.html|_$^regexp regex|_$^2
Svelte|_$^../concepts/svelte.html|_$^svelte|_$^1
Ceylon|_$^../concepts/ceylon.html|_$^ceylon ceyloncite web|_$^3
Applescript|_$^../concepts/applescript.html|_$^scpt scptd AppleScript applescript|_$^4
QBasic|_$^../concepts/qbasic.html|_$^BAS bas|_$^2
Expect|_$^../concepts/expect.html|_$^exp|_$^1
SystemVerilog|_$^../concepts/systemverilog.html|_$^sv svh vh header file|_$^5
DTrace|_$^../concepts/dtrace.html|_$^d|_$^1
beef-lang|_$^../concepts/beef.html|_$^bf|_$^1
NumPy|_$^../concepts/numpy.html|_$^numpy numpyw numsc|_$^3
Modula-2|_$^../concepts/modula-2.html|_$^mod m2 def MOD DEF mi md|_$^7
Rexx|_$^../concepts/rexx.html|_$^cmd exec rexx rex pprx rx arexx|_$^7
YASnippet|_$^../concepts/yasnippet.html|_$^yasnippet|_$^1
OWL|_$^../concepts/owl.html|_$^owl|_$^1
GAP|_$^../concepts/gap.html|_$^g gap gd gi tst|_$^5
PowerBuilder|_$^../concepts/powerbuilder.html|_$^pbt sra srf srm srs sru srw|_$^7
kaitai|_$^../concepts/kaitai.html|_$^ksy|_$^1
ECL|_$^../concepts/ecl.html|_$^ecl eclxml|_$^2
Dogescript|_$^../concepts/dogescript.html|_$^djs|_$^1
Scilab|_$^../concepts/scilab.html|_$^sci sce tst|_$^3
HLSL|_$^../concepts/hlsl.html|_$^cg cginc fxh hlsl hlsli shader fx|_$^7
Click|_$^../concepts/click.html|_$^click|_$^1
Cryptol|_$^../concepts/cryptol.html|_$^cry|_$^1
GLSL|_$^../concepts/glsl.html|_$^comp fp frag frg fsh fshader geo geom glsl glslv gshader tesc tese vert vrx vsh vshader fs glslf gs rchit rmiss shader|_$^23
Slope|_$^../concepts/slope.html|_$^slo|_$^1
JSP|_$^../concepts/java-server-pages.html|_$^jsp jspf|_$^2
JAI|_$^../concepts/jai.html|_$^jai|_$^1
AutoIt|_$^../concepts/autoit.html|_$^au3|_$^1
x86 Assembly|_$^../concepts/x86-assembly.html|_$^s ms|_$^2
K|_$^../concepts/k.html|_$^k|_$^1
Twig|_$^../concepts/twig.html|_$^twig|_$^1
Turtle|_$^../concepts/turtle.html|_$^ttl|_$^1
Clean|_$^../concepts/clean.html|_$^icl dcl abc sapl|_$^4
Golo|_$^../concepts/golo.html|_$^golo|_$^1
wisp|_$^../concepts/wisp.html|_$^wisp|_$^1
YANG|_$^../concepts/yang.html|_$^yang|_$^1
Transact-SQL|_$^../concepts/transact-sql.html|_$^sql|_$^1
eC|_$^../concepts/ec.html|_$^ec eh|_$^2
WDL|_$^../concepts/wdl.html|_$^wdl|_$^1
LOLCODE|_$^../concepts/lolcode.html|_$^lol|_$^1
AGC|_$^../concepts/apollo-guidance-computer.html|_$^agc|_$^1
Bison|_$^../concepts/bison.html|_$^bison|_$^1
AviSynth|_$^../concepts/avi-synth.html|_$^.avs|_$^1
Sage|_$^../concepts/sagemath.html|_$^sage sagews|_$^2
