id	homepage	gits	pldbInterview	twitter	born	died	wikipedia	country	primaryLink
Jeremy Ashkenas	https://ashkenas.com/			https://x.com/jashkenas	1981		https://en.wikipedia.org/wiki/Jeremy_Ashkenas	United States	https://ashkenas.com/
Phil Freeman	https://functorial.com/	https://github.com/paf31		https://twitter.com/paf31				United States	https://functorial.com/
Joe Armstrong	https://joearms.github.io	https://github.com/joearms			1950		https://en.wikipedia.org/wiki/Joe_Armstrong_(programmer)	Sweden	https://joearms.github.io
Joe Ossanna					1928		https://en.wikipedia.org/wiki/Joe_Ossanna	United States	https://en.wikipedia.org/wiki/Joe_Ossanna
John Backus					1924		https://en.wikipedia.org/wiki/John_Backus	United States	https://en.wikipedia.org/wiki/John_Backus
John G. Kemeny					1926		https://en.wikipedia.org/wiki/John_G._Kemeny	United States	https://en.wikipedia.org/wiki/John_G._Kemeny
John Gruber					1973		https://en.wikipedia.org/wiki/John_Gruber	United States	https://en.wikipedia.org/wiki/John_Gruber
John Hughes					1958		https://en.wikipedia.org/wiki/John_Hughes_(computer_scientist)	Sweden	https://en.wikipedia.org/wiki/John_Hughes_(computer_scientist)
John McCarthy	https://www-formal.stanford.edu/jmc/				1927		https://en.wikipedia.org/wiki/John_McCarthy_(computer_scientist)	United States	https://www-formal.stanford.edu/jmc/
John Ousterhout	https://web.stanford.edu/~ouster/cgi-bin/home.php	https://github.com/johnousterhout	https://pldb.io/blog/JohnOusterhout.html	https://x.com/johnousterhout	1954		https://en.wikipedia.org/wiki/John_Ousterhout	United States	https://web.stanford.edu/~ouster/cgi-bin/home.php
John Warnock					1940		https://en.wikipedia.org/wiki/John_Warnock	United States	https://en.wikipedia.org/wiki/John_Warnock
Joseph J. Allaire				https://x.com/fly_upside_down	1969		https://en.wikipedia.org/wiki/Joseph_J._Allaire	United States	https://x.com/fly_upside_down
Ken Thompson	http://cs.bell-labs.co/who/ken/				1943		https://en.wikipedia.org/wiki/Ken_Thompson	United States	http://cs.bell-labs.co/who/ken/
Kenneth E. Iverson					1920		https://en.wikipedia.org/wiki/Kenneth_E._Iverson	Canada	https://en.wikipedia.org/wiki/Kenneth_E._Iverson
Kent Pitman					1956		https://en.wikipedia.org/wiki/Kent_Pitman	United States	https://en.wikipedia.org/wiki/Kent_Pitman
Clark Evans	https://clarkevans.com/							United States	https://clarkevans.com/
Terence Parr	https://parrt.cs.usfca.edu/	https://github.com/parrt			1964		https://en.wikipedia.org/wiki/Terence_Parr	United States	https://parrt.cs.usfca.edu/
Steve Ruiz	https://www.steveruiz.me/	https://github.com/steveruizok		https://x.com/steveruizok	1987			United States	https://www.steveruiz.me/
John Resig	https://johnresig.com/			https://x.com/jeresig	1984		https://en.wikipedia.org/wiki/John_Resig	United States	https://johnresig.com/
TJ Holowaychuk		https://x.com/tjholowaychuk		https://x.com/tjholowaychuk	1988			Canada	https://x.com/tjholowaychuk
Edwin Brady	https://www.type-driven.org.uk/edwinb/	https://www.github.com/edwinb		https://www.twitter.com/edwinbrady				United Kingdom	https://www.type-driven.org.uk/edwinb/
Nicolas Cannasse		https://github.com/ncannasse		https://x.com/ncannasse				France	https://github.com/ncannasse
Axel Liljencrantz		https://github.com/liljencrantz						Sweden	https://github.com/liljencrantz
Phil Moorby					1953		https://en.wikipedia.org/wiki/Phil_Moorby	United Kingdom	https://en.wikipedia.org/wiki/Phil_Moorby
Aseem Kishore	https://aseemk.com/	https://github.com/aseemk		https://x.com/aseemk				United States	https://aseemk.com/
Paul Tagliamonte	https://pault.ag/	https://github.com/paultag						United States	https://pault.ag/
Sanjiva Weerawarana	http://sanjiva.weerawarana.org/	https://github.com/sanjiva					https://en.wikipedia.org/wiki/Sanjiva_Weerawarana	Sri Lanka	http://sanjiva.weerawarana.org/
Alberto Demichelis		https://github.com/albertodemichelis		https://x.com/squirrellang				Italy	https://github.com/albertodemichelis
Sylvan Clebsch		https://github.com/sylvanc						Germany	https://github.com/sylvanc
Thorsten Ball	https://thorstenball.com/	https://github.com/mrnugget		https://x.com/thorstenball				Germany	https://thorstenball.com/
Slava Pestov	https://factorcode.org/slava/	https://github.com/slavapestov						United States	https://factorcode.org/slava/
Leonardo de Moura	https://leodemoura.github.io/	https://github.com/leodemoura						Brazil	https://leodemoura.github.io/
Thomas S Hatch		https://github.com/thatch45		https://x.com/thatch45				United States	https://github.com/thatch45
Leslie Lamport	https://lamport.org/				1941		https://en.wikipedia.org/wiki/Leslie_Lamport	United States	https://lamport.org/
Urban Müller	https://web.archive.org/web/20040930212131/http://wuarchive.wustl.edu/~umueller/							Switzerland	https://web.archive.org/web/20040930212131/http://wuarchive.wustl.edu/~umueller/
Alon Zakai	https://kripken.github.io/blog/about/	https://github.com/kripken		https://x.com/kripken				Israel	https://kripken.github.io/blog/about/
Mathias Sirthias		https://github.com/sirthias						Germany	https://github.com/sirthias
Kartik K. Agaram	https://akkartik.name/	https://github.com/akkartik	https://pldb.io/blog/kartik.html					United States	https://akkartik.name/
Oren Ben-Kiki	http://www.ben-kiki.org/oren/	https://github.com/orenbenkiki		https://x.com/orenbenkiki	1964			Israel	http://www.ben-kiki.org/oren/
Stephen Bourne					1944		https://en.wikipedia.org/wiki/Stephen_R._Bourne	United Kingdom	https://en.wikipedia.org/wiki/Stephen_R._Bourne
Alexander Medvednikov		https://github.com/medvednikov			1993			Russia	https://github.com/medvednikov
Vitalik Buterin				https://x.com/VitalikButerin	1994		https://en.wikipedia.org/wiki/Vitalik_Buterin	Canada	https://x.com/VitalikButerin
Andrew Kelley	https://andrewkelley.me/	https://github.com/andrewrk/						United States	https://andrewkelley.me/
Evan Czaplicki		https://github.com/evancz		https://x.com/evancz				United States	https://github.com/evancz
Lee Byron	https://leebyron.com/	https://github.com/leebyron		https://twitter.com/leeb				United States	https://leebyron.com/
Thierry Coquand	https://www.cse.chalmers.se/~coquand/				1961		https://en.wikipedia.org/wiki/Thierry_Coquand	France	https://www.cse.chalmers.se/~coquand/
Andrey Breslav	https://www.abreslav.com/			https://x.com/abreslav	1984			Russia	https://www.abreslav.com/
Christian Reitwiessner		https://github.com/chriseth		https://x.com/ethchris				Germany	https://github.com/chriseth
Tim Bray	https://www.tbray.org/				1955		https://en.wikipedia.org/wiki/Tim_Bray	Canada	https://www.tbray.org/
José Valim		https://github.com/josevalim		https://x.com/josevalim				Brazil	https://github.com/josevalim
Graydon Hoare	https://graydon2.dreamwidth.org/	https://github.com/graydon		https://x.com/graydon_pub	1977			Canada	https://graydon2.dreamwidth.org/
Konrad Zuse					1910		https://en.wikipedia.org/wiki/Konrad_Zuse	Germany	https://en.wikipedia.org/wiki/Konrad_Zuse
Larry Wall	http://www.wall.org/~larry/				1954		https://en.wikipedia.org/wiki/Larry_Wall	United States	http://www.wall.org/~larry/
Lars Bak		https://github.com/larsbak			1965		https://en.wikipedia.org/wiki/Lars_Bak_(computer_programmer)	Denmark	https://github.com/larsbak
Lars Pensjö					1963		https://en.wikipedia.org/wiki/Lars_Pensjö	Sweden	https://en.wikipedia.org/wiki/Lars_Pensjö
Lee E. McMahon					1931		https://en.wikipedia.org/wiki/Lee_E._McMahon	United States	https://en.wikipedia.org/wiki/Lee_E._McMahon
Mark S. Miller					1958		https://en.wikipedia.org/wiki/Mark_S._Miller	United States	https://en.wikipedia.org/wiki/Mark_S._Miller
Martin Odersky	https://lampwww.epfl.ch/~odersky/				1958		https://en.wikipedia.org/wiki/Martin_Odersky	Switzerland	https://lampwww.epfl.ch/~odersky/
Martin Richards					1940		https://en.wikipedia.org/wiki/Martin_Richards_(computer_scientist)	United Kingdom	https://en.wikipedia.org/wiki/Martin_Richards_(computer_scientist)
Matthew Flatt	https://users.cs.utah.edu/~mflatt/				1967		https://en.wikipedia.org/wiki/Matthew_Flatt	United States	https://users.cs.utah.edu/~mflatt/
Matthias Felleisen					1958		https://en.wikipedia.org/wiki/Matthias_Felleisen	United States	https://en.wikipedia.org/wiki/Matthias_Felleisen
Michael Widenius					1962		https://en.wikipedia.org/wiki/Michael_Widenius	Finland	https://en.wikipedia.org/wiki/Michael_Widenius
Mike Cowlishaw			https://pldb.io/blog/mikecowlishaw-interview.html		1948		https://en.wikipedia.org/wiki/Mike_Cowlishaw	United Kingdom	https://en.wikipedia.org/wiki/Mike_Cowlishaw
Nathaniel Borenstein					1957		https://en.wikipedia.org/wiki/Nathaniel_Borenstein	United States	https://en.wikipedia.org/wiki/Nathaniel_Borenstein
Ned Freed					1959		https://en.wikipedia.org/wiki/Ned_Freed	United States	https://en.wikipedia.org/wiki/Ned_Freed
Niklaus Wirth	https://people.inf.ethz.ch/wirth/		https://pldb.io/blog/niklausWirth.html		1934	2024	https://en.wikipedia.org/wiki/Niklaus_Wirth	Switzerland	https://people.inf.ethz.ch/wirth/
Ole-Johan Dahl					1931	2002	https://en.wikipedia.org/wiki/Ole-Johan_Dahl	Norway	https://en.wikipedia.org/wiki/Ole-Johan_Dahl
